="result_rank",="full_name",="distance",="time_id",="event_desc",="swimmer_age",="swim_time_formatted",="alt_adj_swim_time_formatted",="standard_name",="meet_name",="swim_date",="club_name",="lsc_id",="foreign_yesno",="hytek_power_points",="event_id"
="1","Weitzeil, Abbey",="50",="147023999",="50 FR SCY",="23",="20.90",="20.90",="2019 Summer Nationals (LCM)",="Minnesota Invite 2019",="12/5/2019",="Unattached",="PC",="",="1086",="1"
="2","Brown, Erika",="50",="149767912",="50 FR SCY",="21",="21.03",="21.03",="2019 Summer Nationals (LCM)",="2020 SEC Champs",="2/19/2020",="Unattached",="SE",="",="1072",="1"
="3","Manuel, Simone",="50",="117661342",="50 FR SCY",="20",="21.17",="21.17",="2019 Summer Nationals (LCM)",="2017 NCAA DI - Women",="3/16/2017",="Unattached",="PC",="",="1057",="1"
="4","Hopkin, Anna",="50",="146152460",="50 FR SCY",="23",="21.19",="21.19",="2019 Summer Nationals (LCM)",="2019 Mizzou Invitational",="11/20/2019",="Unattached",="AR",="Yes",="1055",="1"
="5","Smoliga, Olivia",="50",="106561569",="50 FR SCY",="21",="21.21",="21.21",="2019 Summer Nationals (LCM)",="2016 NCAA DI - Women",="3/17/2016",="Unattached",="GA",="",="1053",="1"
="6","MacNeil, Maggie",="50",="149882454",="50 FR SCY",="19",="21.30",="21.30",="2019 Summer Nationals (LCM)",="2020 B1G 10 Champs women",="2/20/2020",="Unattached",="MI",="Yes",="1043",="1"
="7","Osman, Farida",="50",="105650271",="50 FR SCY",="21",="21.32",="21.32",="2019 Summer Nationals (LCM)",="2016 PAC-12 Champs Women",="2/25/2016",="Unattached",="PC",="Yes",="1041",="1"
="8","Vanderpool-Wallace, Arianna",="50",="106314487",="50 FR SCY",="26",="21.37",="21.37",="2019 Summer Nationals (LCM)",="2016 SE Southern Premier",="3/5/2016",="SwimMAC Carolina",="NC",="Yes",="1035",="1"
="9","Baldwin, Caroline",="50",="124400402",="50 FR SCY",="21",="21.48",="21.48",="2019 Summer Nationals (LCM)",="2017 Tennessee Invitational",="11/30/2017",="Unattached",="NC",="",="1024",="1"
="9","Li, Liz",="50",="106561555",="50 FR SCY",="20",="21.48",="21.48",="2019 Summer Nationals (LCM)",="2016 NCAA DI - Women",="3/17/2016",="Unattached",="OH",="Yes",="1024",="1"
="11","Comerford, Mallory",="50",="140033032",="50 FR SCY",="21",="21.49",="21.49",="2019 Summer Nationals (LCM)",="2019 NCAA DI - Women",="3/21/2019",="Unattached",="KY",="",="1023",="1"
="12","Walsh, Gretchen",="50",="150661573",="50 FR SCY",="17",="21.50",="21.50",="2019 Summer Nationals (LCM)",="2020 GA Speedo Southern Premier",="3/7/2020",="Nashville Aquatic Club",="SE",="",="1021",="1"
="13","Curzan, Claire",="50",="150848168",="50 FR SCY",="16",="21.51",="21.51",="2019 Summer Nationals (LCM)",="2020 NC TAC TITANS Intrasquad ",="7/17/2020",="TAC Titans",="NC",="",="1035",="1"
="13","Coughlin, Natalie",="50",="80515078",="50 FR SCY",="31",="21.51",="21.51",="2017 US Open",="2013 Winter Nationals",="12/5/2013",="California Aquatics",="PC",="",="1020",="1"
="15","Douglass, Kate",="50",="146414942",="50 FR SCY",="18",="21.53",="21.53",="2019 Summer Nationals (LCM)",="2019 UT Invite",="11/21/2019",="Unattached",="CT",="",="1018",="1"
="15","Geer, Margo",="50",="84804265",="50 FR SCY",="22",="21.53",="21.53",="2017 US Open",="2014 NCAA DI - Women",="3/20/2014",="Unattached",="AZ",="",="1018",="1"
="15","Thompson, Sarah",="50",="146153565",="50 FR SCY",="21",="21.53",="21.53",="2019 Summer Nationals (LCM)",="2019 Mizzou Invitational",="11/20/2019",="Unattached",="MV",="",="1018",="1"
="18","Banic, Madeline",="50",="116289752",="50 FR SCY",="19",="21.54",="21.54",="2019 Summer Nationals (LCM)",="2017 SEC Champs",="2/15/2017",="Unattached",="SE",="",="1017",="1"
="18","Meynen, Julie",="50",="149768079",="50 FR SCY",="22",="21.54",="21.54",="2019 Summer Nationals (LCM)",="2020 SEC Champs",="2/19/2020",="Unattached",="SE",="Yes",="1017",="1"
